2025-12-24 15:52:32.399 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 15:22:23 CST 2025], queryCount=0, queryTime=1766562744377, elapsedTime=11, dsName=MyBatis-Flex, metas=null}
2025-12-24 16:02:32.398 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 15:32:24 CST 2025], queryCount=0, queryTime=1766563344414, elapsedTime=6, dsName=MyBatis-Flex, metas=null}
2025-12-24 16:12:32.392 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 15:42:24 CST 2025], queryCount=0, queryTime=1766563944427, elapsedTime=6, dsName=MyBatis-Flex, metas=null}
2025-12-24 16:22:32.395 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 15:52:24 CST 2025], queryCount=0, queryTime=1766564544443, elapsedTime=7, dsName=MyBatis-Flex, metas=null}
2025-12-24 16:32:32.390 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 16:02:24 CST 2025], queryCount=0, queryTime=1766565144460, elapsedTime=6, dsName=MyBatis-Flex, metas=null}
2025-12-24 16:42:32.386 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 16:12:24 CST 2025], queryCount=0, queryTime=1766565744482, elapsedTime=6, dsName=MyBatis-Flex, metas=null}
2025-12-24 16:52:32.387 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 16:22:24 CST 2025], queryCount=0, queryTime=1766566344503, elapsedTime=6, dsName=MyBatis-Flex, metas=null}
2025-12-24 17:02:32.384 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 16:32:24 CST 2025], queryCount=0, queryTime=1766566944522, elapsedTime=8, dsName=MyBatis-Flex, metas=null}
2025-12-24 17:12:32.395 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 16:42:24 CST 2025], queryCount=0, queryTime=1766567544551, elapsedTime=5, dsName=MyBatis-Flex, metas=null}
2025-12-24 17:22:32.393 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 16:52:24 CST 2025], queryCount=0, queryTime=1766568144567, elapsedTime=6, dsName=MyBatis-Flex, metas=null}
2025-12-24 17:32:32.388 [ScheduledMessageCollector] INFO  - Sql Audit: AuditMessage{platform='MyBatis-Flex', module='null', url='null', bizId='null', user='null', userIp='null', hostIp='192.168.137.1', query='SELECT `id`, `user_id`, `name`, `id_card`, `request_no`, `status`, `query_fee`, `pay_mode`, `pay_status`, `result`, `created_at`, `updated_at` FROM `real_estate_query_record` WHERE `request_no` IS NOT NULL  AND `request_no` != ? AND `status` IN (?, ?) AND `updated_at` <= ? ORDER BY `created_at` ASC', queryParams=[, SUBMITTED, PROCESSING, Wed Dec 24 17:02:24 CST 2025], queryCount=0, queryTime=1766568744679, elapsedTime=8, dsName=MyBatis-Flex, metas=null}
